clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,
HBOS,0.2025,1215,1215,4785,0.477275952,0.790245116,1
HBOS,0.213,1278,1270,4730,0.465444936,0.775631325,0.993740219
HBOS,0.208833333,1253,1253,4747,0.481505604,0.785114973,1
HBOS,0.209666667,1258,1251,4749,0.474204903,0.781901329,0.994435612
HBOS,0.210666667,1264,1262,4738,0.471003143,0.779838978,0.998417722
HBOS,0.2055,1233,1230,4770,0.478683028,0.787615878,0.99756691
HBOS,0.212,1272,1264,4736,0.495027615,0.786343104,0.993710692
HBOS,0.209666667,1258,1202,4798,0.446683193,0.773157469,0.955484897
HBOS,0.208666667,1252,1206,4794,0.490586923,0.788239951,0.963258786
HBOS,0.207,1242,1212,4788,0.481783033,0.787075856,0.975845411
HBOS,0.203166667,1219,1218,4782,0.466305819,0.78611124,0.999179655
HBOS,0.2055,1233,1219,4781,0.482388807,0.788801488,0.98864558
HBOS,0.205333333,1232,1222,4778,0.545495402,0.809862118,0.991883117
HBOS,0.21,1260,1076,4924,0.600482218,0.825054499,0.853968254
HBOS,0.2135,1281,1281,4719,0.465512133,0.775134614,1
HBOS,0.207333333,1244,1222,4778,0.476999099,0.785196993,0.982315113
HBOS,0.199333333,1196,1182,4818,0.436501494,0.781036974,0.988294314
HBOS,0.213333333,1280,1279,4721,0.482196769,0.780748799,0.99921875
HBOS,0.1975,1185,1184,4816,0.457495695,0.789308485,0.999156118
HBOS,0.2025,1215,1214,4786,0.485636699,0.792894665,0.999176955
HBOS,0.208666667,1252,1246,4754,0.459627191,0.77828375,0.995207668
HBOS,0.2105,1263,1245,4755,0.500465081,0.789654622,0.985748219
HBOS,0.207,1242,1241,4759,0.451321751,0.777424883,0.999194847
HBOS,0.207833333,1247,1247,4753,0.491310177,0.789318353,1
HBOS,0.2105,1263,1236,4764,0.499910745,0.789470335,0.978622328
HBOS,0.213666667,1282,1279,4721,0.484981506,0.781327886,0.997659906
HBOS,0.207166667,1243,1243,4757,0.489087598,0.789269082,1
HBOS,0.197666667,1186,1184,4816,0.484742365,0.797530146,0.998313659
HBOS,0.2045,1227,1226,4774,0.488363129,0.791736481,0.999185004
HBOS,0.203,1218,1200,4800,0.494025214,0.795072529,0.985221675
HBOS,0.2105,1263,1253,4747,0.48056614,0.783107382,0.992082344
HBOS,0.214833333,1289,1287,4713,0.47999639,0.778492091,0.99844841
HBOS,0.206666667,1240,1233,4767,0.477219436,0.785951864,0.994354839
HBOS,0.212833333,1277,1193,4807,0.475174304,0.778958026,0.93422083
HBOS,0.213166667,1279,1264,4736,0.473447536,0.778053963,0.988272088
HBOS,0.2,1200,1200,4800,0.476041667,0.792425174,1
HBOS,0.208,1248,1234,4766,0.481954966,0.786110852,0.988782051
HBOS,0.206166667,1237,1231,4769,0.49195946,0.79121245,0.995149555
HBOS,0.211,1266,1255,4745,0.472066046,0.779837804,0.991311216
HBOS,0.2045,1227,1225,4775,0.470026745,0.785898138,0.998370008
HBOS,0.209333333,1256,1256,4744,0.474361178,0.782294777,1
HBOS,0.202666667,1216,1209,4791,0.485032345,0.792532753,0.994243421
HBOS,0.211833333,1271,1271,4729,0.475922289,0.780230698,1
HBOS,0.2135,1281,1273,4727,0.476781539,0.778800543,0.993754879
HBOS,0.2015,1209,1198,4802,0.481149001,0.792491415,0.990901572
HBOS,0.209333333,1256,1251,4749,0.477909072,0.783439449,0.996019108
HBOS,0.2115,1269,1238,4762,0.383652065,0.752100199,0.975571316
